"lon","lat","Име","Адрес"
"27.449699","42.530998","Lukoil F504","Бургас, бул. Стефан Стамболов (изход за София)"
"27.701500","42.664600","Lukoil F541","Несебър, ул. Хан Крум"
"27.299700","42.394798","Lukoil F517","Дебелт, с. Дебелт"
"23.294298","42.694431","Lukoil B032","София, бул. К. Величков и бул. Възкресение"
"23.291500","42.663101","Lukoil F525","София, бул. Тодор Каблешков №74"
"23.412376","42.645107","Eko София - Дружба II","София, ул. Димитър Пешев"
"28.325300","43.435299","Rompetrol Логос","Каварна, ул. България №2А"
"25.630301","42.419498","OMV Ст. Загора Дезинтегратор","Стара Загора, бул. Руски №4"
"27.461185","42.516174","OMV Бургас Ремиза","Бургас, бул. Стефан Стамболов №113"
"24.351187","42.186359","OMV Пазарджик","Пазарджик, ул. Пловдивска"
"27.902931","43.228527","OMV Варна Смирненски","Варна, бул. Цар Освободител №1"
"23.295601","42.691101","OMV Пробива","София, ул. Гюешево №83"
"23.404331","42.641685","OMV София - Цариградско шосе","София, бул. Цариградско шосе"
"27.941200","43.223499","Petrol 2106","Варна, кв. Бриз"
"23.284300","42.743599","Petrol 7101","София, бул. Ломско шосе (изход от София)"
"23.298599","42.659500","Petrol 7146","София, бул. Тодор Каблешков (последна спирка 74,76)"
"23.334499","42.636799","Petrol 7151","София, бул. Симеоновско шосе (срещу х-л Амбасадор)"
"24.615499","43.422600","Petrol 4125","Плевен, ул. Георги Кочев №161"
"27.823467","43.595051","Атанасов груп Метанстанция","Добрич, Северен околовръстен път"
"24.768700","42.137600","М-Газ Лаута","Пловдив, бул. Санкт Петербург №53"
"25.974899","43.849899","М-Газ Липник","Русе, бул. Липник №73А"
"23.085899","42.006001","М-Газ Бистрица","Благоевград, ул. Васил Левски №61"
"27.822399","43.547699","Rompetrol Метан търговия","Добрич , бул. 25ти Септември (изхода за Варна)"
"26.949200","43.261200","АЛ+КО Шумен","Шумен, ул. Цветан Зангов №2"
"24.742352","42.174809","Векта Пловдив","Пловдив, ул. Васил Левски №170"
"24.740499","42.179798","Булмаркет Пловдив 1","Пловдив, ул. Васил Левски №216"
"24.711760","42.155884","Global Commerce Кършияка","Пловдив, бул. България"
"23.546417","42.354424","Samel 90","Самоков, Софийско шосе (на разклона с околовръстен път) "
"23.202700","41.613300","Драката","Драката, с.Драката, Сандански"
"23.216499","41.430401","Евро метан","Петрич, местност Карача (в дясно по пътя Сандански - Петрич)"
"23.204300","41.405300","Круиз Петрич","Петрич, ул. Свобода №6"
"24.714630","43.149784","Litex Ловеч","Ловеч, ул. Княз Имертински (колелото по пътя за Плевен)"
"24.642300","43.404701","Метан Трейд","Плевен, ул. Свети Сава №2 (ж.к. Дружба)"
"23.885300","42.912102","Метан","Правец, на изхода от София посока Ботевград"
"23.779100","42.924702","Метан","Ботевград, пътя за Враца"
"23.068701","42.013000","Метан","Благоевград, ул. Зеленодолско шосе №16 (преди МЕТРО)"
"24.818600","42.063900","Litex Пловдив","Пловдив, Асеновградско шосе (срещу КЦМ)"
"24.807440","42.140240","Булмаркет Пловдив 2","Пловдив, ул. Ягодовско шосе"
"24.816837","42.148827","Global Commerce Скобелица","Пловдив, Цариградско шосе (изход към Свиленград)"
"24.757500","42.125702","Global Commerce Кукленско шосе","Пловдив, ул. Кукленско шосе №6"
"24.718399","43.151001","Булмаркет Ловеч","Ловеч, ул. Бяло море №20"
"25.605301","43.074402","Метан и Газ","Велико Търново, ул. Магистрална №27"
"26.503599","42.476799","Омакс","Ямбол, ул. Индже войвода №29"
"27.937799","43.225201","Metan","Варна, ул. Христо Смирненски (терапевтична болница)"
"27.864481","43.233494","Метан Груп","Варна, бул. Цар Освободител (до МЕТРО)"
"26.952700","43.270401","Колорадо","Шумен, ул. Плана №10 (кв. Индустриален)"
"24.729401","42.269402","Galileo","Граф Игнатиево, гл. път Пловдив-Карлово"
"25.931000","43.820599","Булмаркет Русе","Русе, бул. 3-ти март №74"
"26.569817","43.512638","Пороище","Разград, разклонение за Пороище"
"26.557592","43.254726","Д и Г Брадърс","Търговище, ул. Околовръстен път"
"25.568050","43.085419","Gazprom Велико Търново","Велико Търново, 2км. преди входа на Търново по пътя София-Варна"
"25.597000","43.070099","Метан","Велико Търново, ул. Сан Стефано (зад Техномаркет)"
"25.102800","43.008301","Шопов","Севлиево, изход към Габрово"
"25.395000","42.614601","Казанлък автогарата","Казанлък, ул. Софроний Врачански №24 (до автогарата)"
"25.653122","42.368721","Ида","Стара Загора, след изхода на магистралата на 2 км. в посока Стара Загора"
"23.361818","42.698174","Метагаз","София, бул. Ботевградско шосе №1 и ул. Скъта"
"25.641800","42.403599","Зара 3","Стара Загора, кв. Кольо Ганчев"
"23.343000","42.712799","Метагаз","София, ул. Първа Българска Армия и ул. Малашевска"
"23.274200","42.743099","Омикс","София, ж.к. Обеля, ул. Академик Димитър Лихачов №29"
"25.991899","42.497398","Soriko","Нова Загора, ул. Патриарх Евтимий №89"
"26.269699","42.616901","Бома газ","Сливен, Старозагорско шосе"
"25.595600","41.931099","Ида","Хасково, бул. Съединение (срещу ХИММАШ)"
"22.714001","42.283199","Юг ойл","Кюстендил, ул. Дупнишко шосе №6"
"22.701700","42.289101","Метан станция","Кюстендил, ул. Дондуков №65"
"23.007530","42.593719","Кристал","Перник, изход за Кюстендил"
"23.740200","41.564499","Метан станция","Гоце Делчев, местност Текето (срещу фирма Пиринтекс)"
"23.566900","43.239201","Еко метан","Враца, пътя за Оряхово"
"26.194815","41.773800","Свиленград газ","Свиленград, ул. Крайречна"
"24.746000","41.568199","Galileo","Смолян, ул. Родопи №130"
"23.210400","42.809101","Metan Market","Костинброд, ул. Славянска №24"
"23.232700","43.433102","Еко метан","Монтана, бул. 3-ти март (Ломско шосе)"
"25.666613","43.463879","Девонгаз","Бяла, гл. път Е85"
"24.341700","42.179100","Векта Пазарджик","Пазарджик, ул. Стефан Стамболов"
"23.282000","42.721401","Метагаз","София, ул. 3019-та"
"23.271999","42.687199","Акта","София, ул. Житница №33 (ж.к. Овча купел )"
"23.274694","42.686390","Булмаркет София","София, бул. Никола Мушанов №120"
"23.326200","42.737598","Метагаз","София, бул. Илиянци и ул. Проф. Иван Георгов"
"23.327200","42.714699","Метан","София, ул. 202-ра №4"
"23.336300","42.710300","Galileo","София, ул. Каменоделска №10"
"23.421301","42.649502","Тенекс-С","София, ул. Капитан Любен Кондаков"
"25.382099","41.630199","Райков Сервиз Кърджали","Кърджали, източна промишлена зона"
"24.712799","42.135399","Арена","Пловдив, бул. Пещерско шосе №111"
"24.755100","42.129501","Лукс","Пловдив, ул. Даме Груев №64"
"24.736488","42.163895","Global Commerce Автогара Север","Пловдив, ул. Победа №77"
"27.891199","43.228802","Фаена","Варна, ул. Тролейна №48"
"27.306000","42.569801","Камено","Камено, ул. Христо Ботев"
"25.620501","42.080502","Райков Сервиз Димитровград","Димитровград, на изхода за Стара загора"
"24.707001","42.919899","Троянефт","Троян, ул. Васил Левски №481"
"23.141199","41.848598","Симитли","Симитли, по път Е79 след Симитли 5км."
"24.307699","42.263699","Райков Сервиз Пазарджик","АМ Тракия, до Шел Пазарджик (посока София-Бургас)"
"23.344263","42.711838","Круиз Първа Българска Армия","София, ул. Първа Българска Армия №90А"
"25.699600","42.445400","Метан","Хрищени, инд. зона"
"24.726601","42.164200","Райков Сервиз Пловдив","Пловдив, бул. Васил Априлов"
"24.757910","42.133209","Global Commerce надлез Родопи","Пловдив, ул. Найчо Цанов (до Petrol)"
"23.378511","42.650135","Метагаз","София, бул. Александър Малинов"
"23.282976","42.744068","Комплекс Кристал","София, бул. Ломско шосе №207"
"24.864708","42.582718","Люб и синове","Марино поле, гл. път 56 (между Баня и Васил Левски)"
"26.482800","42.536499","Райков Сервиз Кабиле","Кабиле, изход за АМ Тракия"
"27.440920","42.481956","Lukoil F557","Бургас, ул. Чаталджа №2"
"22.854160","44.003780","Китекс Ойл","Видин, Западна промишлена зона"
"23.555901","43.216919","Метан","Враца, ул. Драган Цанков №1Б (Източна промишлена зона)"
"24.763664","42.146442","Арена","Пловдив, бул. Източен"
"23.885254","42.912151","Метамодул","Разлив, до автомагистрала Хемус"
