Ден,Бензин,Дизел,Пропан-бутан
20130101,2.49,2.54,1.38
20130102,2.49,2.55,1.38
20130103,2.48,2.54,1.38
20130104,2.47,2.53,1.38
20130105,2.49,2.55,1.38
20130106,2.49,2.55,1.38
20130107,2.49,2.55,1.38
20130108,2.49,2.55,1.38
20130109,2.49,2.55,1.38
20130110,2.51,2.53,1.38
20130111,2.52,2.54,1.38
20130112,2.53,2.55,1.38
20130113,2.53,2.55,1.38
20130114,2.53,2.55,1.38
20130115,2.53,2.55,1.38
20130116,2.53,2.55,1.38
20130117,2.52,2.55,1.38
20130118,2.52,2.55,1.38
20130119,2.53,2.57,1.38
20130120,2.53,2.57,1.38
20130121,2.53,2.57,1.38
20130122,2.53,2.57,1.38
20130123,2.5,2.55,1.38
20130124,2.49,2.54,1.38
20130125,2.49,2.54,1.38
20130126,2.54,2.55,1.4
20130127,2.54,2.55,1.4
20130128,2.54,2.55,1.4
20130129,2.54,2.55,1.4
20130130,2.54,2.55,1.4
20130131,2.58,2.57,1.4
20130201,2.57,2.56,1.4
20130202,2.58,2.57,1.4
20130203,2.61,2.57,1.4
20130204,2.61,2.57,1.4
20130205,2.61,2.57,1.4
20130206,2.61,2.57,1.4
20130207,2.59,2.55,1.4
20130208,2.6,2.56,1.4
20130209,2.61,2.57,1.4
20130210,2.61,2.57,1.4
20130211,2.61,2.57,1.4
20130212,2.61,2.57,1.4
20130213,2.61,2.62,1.4
20130214,2.6,2.61,1.4
20130215,2.6,2.61,1.4
20130216,2.64,2.66,1.4
20130217,2.64,2.66,1.4
20130218,2.64,2.66,1.4
20130219,2.64,2.66,1.4
20130220,2.64,2.66,1.4
20130221,2.66,2.65,1.4
20130222,2.66,2.65,1.4
20130223,2.65,2.66,1.4
20130224,2.65,2.66,1.36
20130225,2.65,2.66,1.36
20130226,2.65,2.66,1.34
20130227,2.65,2.66,1.34
20130228,2.64,2.65,1.34
20130301,2.64,2.66,1.34
20130302,2.64,2.66,1.34
20130303,2.64,2.66,1.34
20130304,2.64,2.66,1.34
20130305,2.64,2.66,1.34
20130306,2.64,2.66,1.28
20130307,2.63,2.66,1.28
20130308,2.6,2.63,1.28
20130309,2.6,2.63,1.28
20130310,2.6,2.63,1.28
20130311,2.6,2.63,1.28
20130312,2.6,2.63,1.28
20130313,2.6,2.63,1.28
20130314,2.6,2.63,1.28
20130315,2.59,2.63,1.28
20130316,2.6,2.63,1.28
20130317,2.6,2.63,1.28
20130318,2.6,2.63,1.28
20130319,2.6,2.63,1.28
20130320,2.6,2.63,1.28
20130321,2.59,2.62,1.28
20130322,2.59,2.62,1.28
20130323,2.6,2.63,1.28
20130324,2.6,2.63,1.28
20130325,2.6,2.63,1.28
20130326,2.6,2.63,1.28
20130327,2.6,2.63,1.28
20130328,2.61,2.61,1.25
20130329,2.61,2.62,1.25
20130330,2.63,2.63,1.25
20130331,2.63,2.63,1.25
20130401,2.63,2.63,1.25
20130402,2.61,2.61,1.25
20130403,2.63,2.63,1.22
20130404,2.61,2.61,1.22
20130405,2.61,2.61,1.22
20130406,2.63,2.63,1.2
20130407,2.63,2.63,1.2
20130408,2.63,2.63,1.2
20130409,2.63,2.63,1.2
20130410,2.58,2.61,1.18
20130411,2.57,2.59,1.18
20130412,2.57,2.59,1.18
20130413,2.57,2.6,1.17
20130414,2.57,2.6,1.17
20130415,2.57,2.6,1.17
20130416,2.57,2.6,1.17
20130417,2.55,2.59,1.17
20130418,2.54,2.58,1.17
20130419,2.54,2.58,1.17
20130420,2.55,2.59,1.17
20130421,2.55,2.59,1.17
20130422,2.55,2.59,1.17
20130423,2.55,2.59,1.17
20130424,2.55,2.59,1.17
20130425,2.53,2.57,1.17
20130426,2.54,2.58,1.17
20130427,2.59,2.61,1.19
20130428,2.59,2.61,1.19
20130429,2.59,2.61,1.19
20130430,2.59,2.61,1.19
20130501,2.59,2.6,1.19
20130502,2.58,2.59,1.19
20130503,2.58,2.59,1.19
20130504,2.59,2.6,1.19
20130505,2.59,2.61,1.19
20130506,2.59,2.61,1.19
20130507,2.59,2.61,1.19
20130508,2.59,2.61,1.19
20130509,2.55,2.6,1.19
20130510,2.55,2.6,1.19
20130511,2.56,2.61,1.19
20130512,2.56,2.61,1.19
20130513,2.56,2.61,1.19
20130514,2.56,2.61,1.19
20130515,2.56,2.61,1.19
20130516,2.55,2.6,1.19
20130517,2.55,2.6,1.19
20130518,2.56,2.61,1.19
20130519,2.56,2.61,1.19
20130520,2.56,2.61,1.19
20130521,2.56,2.61,1.19
20130522,2.58,2.62,1.19
20130523,2.55,2.6,1.19
20130524,2.56,2.61,1.19
20130525,2.56,2.61,1.19
20130526,2.56,2.61,1.19
20130527,2.56,2.61,1.19
20130528,2.56,2.61,1.19
20130529,2.56,2.61,1.16
20130530,2.55,2.6,1.16
20130531,2.55,2.6,1.16
20130601,2.56,2.61,1.16
20130602,2.56,2.61,1.16
20130603,2.56,2.61,1.16
20130604,2.56,2.61,1.16
20130605,2.56,2.61,1.16
20130606,2.55,2.6,1.16
20130607,2.55,2.6,1.16
20130608,2.56,2.61,1.16
20130609,2.56,2.61,1.16
20130610,2.56,2.61,1.16
20130611,2.56,2.61,1.16
20130612,2.56,2.61,1.15
20130613,2.55,2.6,1.16
20130614,2.55,2.6,1.15
20130615,2.56,2.61,1.16
20130616,2.56,2.61,1.16
20130617,2.56,2.61,1.16
20130618,2.56,2.61,1.16
20130619,2.56,2.61,1.16
20130620,2.55,2.6,1.16
20130621,2.55,2.6,1.16
20130622,2.56,2.61,1.16
20130623,2.56,2.61,1.16
20130624,2.56,2.61,1.16
20130625,2.56,2.61,1.16
20130626,2.53,2.59,1.16
20130627,2.52,2.58,1.16
20130628,2.52,2.58,1.16
20130629,2.53,2.59,1.16
20130630,2.53,2.59,1.16
20130701,2.53,2.59,1.16
20130702,2.53,2.59,1.16
20130703,2.53,2.59,1.16
20130704,2.52,2.58,1.16
20130705,2.52,2.58,1.16
20130706,2.53,2.59,1.16
20130707,2.53,2.59,1.16
20130708,2.53,2.59,1.16
20130709,2.53,2.59,1.16
20130710,2.55,2.62,1.18
20130711,2.54,2.61,1.18
20130712,2.54,2.62,1.18
20130713,2.55,2.62,1.18
20130714,2.56,2.62,1.18
20130715,2.55,2.62,1.18
20130716,2.55,2.62,1.18
20130717,2.56,2.64,1.18
20130718,2.56,2.64,1.18
20130719,2.56,2.65,1.18
20130720,2.58,2.66,1.18
20130721,2.57,2.66,1.18
20130722,2.57,2.66,1.18
20130723,2.59,2.66,1.18
20130724,2.61,2.66,1.18
20130725,2.6,2.65,1.18
20130726,2.6,2.65,1.18
20130727,2.61,2.66,1.18
20130728,2.61,2.66,1.18
20130729,2.61,2.66,1.18
20130730,2.61,2.66,1.18
20130731,2.61,2.66,1.18
20130801,2.6,2.65,1.18
20130802,2.6,2.65,1.18
20130803,2.61,2.66,1.18
20130804,2.61,2.66,1.18
20130805,2.61,2.66,1.18
20130806,2.61,2.66,1.18
20130807,2.62,2.66,1.18
20130808,2.6,2.65,1.18
20130809,2.6,2.65,1.18
20130810,2.61,2.66,1.22
20130811,2.61,2.66,1.22
20130812,2.61,2.66,1.23
20130813,2.61,2.66,1.23
20130814,2.61,2.66,1.28
20130815,2.59,2.64,1.27
20130816,2.59,2.64,1.28
20130817,2.61,2.65,1.29
20130818,2.61,2.66,1.29
20130819,2.61,2.66,1.3
20130820,2.61,2.66,1.3
20130821,2.61,2.66,1.3
20130822,2.59,2.65,1.3
20130823,2.59,2.65,1.3
20130824,2.6,2.66,1.3
20130825,2.6,2.66,1.3
20130826,2.6,2.66,1.3
20130827,2.61,2.66,1.3
20130828,2.62,2.66,1.3
20130829,2.6,2.65,1.3
20130830,2.6,2.65,1.3
20130831,2.61,2.66,1.3
20130901,2.62,2.67,1.3
20130902,2.62,2.67,1.3
20130903,2.61,2.66,1.3
20130904,2.61,2.66,1.3
20130905,2.61,2.66,1.3
20130906,2.6,2.65,1.3
20130907,2.61,2.66,1.3
20130908,2.61,2.66,1.3
20130909,2.61,2.66,1.3
20130910,2.61,2.66,1.3
20130911,2.6,2.66,1.3
20130912,2.6,2.66,1.3
20130913,2.6,2.65,1.3
20130914,2.61,2.66,1.3
20130915,2.61,2.66,1.3
20130916,2.61,2.66,1.3
20130917,2.61,2.66,1.3
20130918,2.6,2.66,1.3
20130919,2.6,2.65,1.3
20130920,2.6,2.65,1.3
20130921,2.61,2.65,1.3
20130922,2.61,2.66,1.3
20130923,2.61,2.66,1.3
20130924,2.61,2.66,1.3
20130925,2.6,2.65,1.3
20130926,2.59,2.63,1.3
20130927,2.59,2.63,1.31
20130928,2.59,2.63,1.3
20130929,2.59,2.63,1.3
20130930,2.59,2.63,1.3
20131001,2.58,2.62,1.3
20131002,2.57,2.61,1.3
20131003,2.56,2.6,1.3
20131004,2.56,2.59,1.3
20131005,2.57,2.59,1.3
20131006,2.56,2.59,1.3
20131007,2.57,2.59,1.3
20131008,2.57,2.59,1.3
20131009,2.57,2.58,1.3
20131010,2.56,2.57,1.31
20131011,2.56,2.57,1.31
20131012,2.57,2.57,1.3
20131013,2.57,2.57,1.3
20131014,2.57,2.57,1.3
20131015,2.57,2.57,1.3
20131016,2.57,2.58,1.3
20131017,2.56,2.57,1.3
20131018,2.56,2.56,1.3
20131019,2.57,2.57,1.3
20131020,2.57,2.57,1.3
20131021,2.57,2.57,1.3
20131022,2.57,2.57,1.3
20131023,2.57,2.57,1.3
20131024,2.56,2.56,1.3
20131025,2.56,2.56,1.3
20131026,2.57,2.57,1.3
20131027,2.57,2.57,1.3
20131028,2.57,2.57,1.3
20131029,2.57,2.57,1.3
20131030,2.57,2.57,1.3
20131031,2.56,2.56,1.3
20131101,2.56,2.56,1.3
20131102,2.57,2.57,1.3
20131103,2.57,2.57,1.3
20131104,2.57,2.57,1.3
20131105,2.57,2.57,1.3
20131106,2.57,2.57,1.3
20131107,2.56,2.56,1.3
20131108,2.56,2.56,1.3
20131109,2.57,2.57,1.3
20131110,2.57,2.57,1.3
20131111,2.57,2.57,1.3
20131112,2.57,2.57,1.3
20131113,2.57,2.57,1.3
20131114,2.56,2.56,1.3
20131115,2.56,2.56,1.3
20131116,2.57,2.57,1.3
20131117,2.57,2.57,1.3
20131118,2.57,2.57,1.3
20131119,2.57,2.57,1.3
20131120,2.57,2.57,1.3
20131121,2.56,2.56,1.3
20131122,2.57,2.57,1.3
20131123,2.57,2.57,1.31
20131124,2.58,2.58,1.32
20131125,2.58,2.58,1.32
20131126,2.58,2.58,1.33
20131127,2.58,2.58,1.33
20131128,2.58,2.58,1.33
20131129,2.58,2.6,1.34
20131130,2.58,2.61,1.35
20131201,2.58,2.62,1.35
20131202,2.58,2.62,1.35
20131203,2.58,2.63,1.36
20131204,2.58,2.64,1.37
20131205,2.58,2.64,1.37
20131206,2.58,2.65,1.37
20131207,2.58,2.65,1.37
20131208,2.58,2.65,1.37
20131209,2.58,2.66,1.37
20131210,2.58,2.66,1.37
20131211,2.58,2.66,1.37
20131212,2.58,2.66,1.37
20131213,2.58,2.66,1.38
20131214,2.58,2.66,1.4
20131215,2.58,2.66,1.4
20131216,2.58,2.66,1.4
20131217,2.58,2.66,1.4
20131218,2.58,2.66,1.4
20131219,2.58,2.66,1.4
20131220,2.58,2.66,1.4
20131221,2.58,2.66,1.4
20131222,2.58,2.66,1.4
20131223,2.58,2.66,1.4
20131224,2.58,2.66,1.4
20131225,2.58,2.66,1.4
20131226,2.58,2.66,1.4
20131227,2.58,2.66,1.4
20131228,2.58,2.66,1.4
20131229,2.58,2.66,1.4
20131230,2.58,2.66,1.4
20131231,2.58,2.66,1.4
